question,sql
"Which Country has a To par smaller than 6, and a Money ($) larger than 700, and a Score of 69-73-70-71=283?",SELECT Country FROM table WHERE To par < 6 AND Money ( $ ) > 700 AND Score = 69-73-70-71=283
"Which average money has a Place of t10, and a Player of denny shute, and a To par larger than 12?",SELECT AVG Money ( $ ) FROM table WHERE Place = t10 AND Player = denny shute AND To par > 12
"Which Country has a Money ($) of 0, and a Place of t10?",SELECT Country FROM table WHERE Money ( $ ) = 0 AND Place = t10
What is the highest FLap by a Honda NSR500 bike after Race 16?,SELECT MAX FLap FROM table WHERE Bike = honda nsr500 AND Race > 16
"Which Fate has a Tonnage (GRT) larger than 1,352, and a Name of lavington court?","SELECT Fate FROM table WHERE Tonnage (GRT) > 1,352 AND Name = lavington court"
"How much tonnage Tonnage (GRT) has a Nationality of united kingdom, and a Date of 27 june 1941?",SELECT COUNT Tonnage (GRT) FROM table WHERE Nationality = united kingdom AND Date = 27 june 1941
Which Nationality has a Date of 8 may 1942?,SELECT Nationality FROM table WHERE Date = 8 may 1942
What is Canada's highest round before 1973?,SELECT MAX Round FROM table WHERE Nationality = canada AND Draft < 1973
What year was The Saber nominated for best action?,SELECT AVG Year FROM table WHERE Title of work = saber AND Category = best action
What was awarded before 2013 to the Saber in the category of Best Action?,SELECT Award FROM table WHERE Year < 2013 AND Title of work = saber AND Category = best action
What date had the patent number US plant patent 12098?,SELECT Date FROM table WHERE Plant Patent Number = us plant patent 12098
What's the mutated having a patent number of US plant patent 9645?,SELECT Mutated From FROM table WHERE Plant Patent Number = us plant patent 9645
What's the patent number when it was mutated from Yakata 7001 and a standard habit?,SELECT Plant Patent Number FROM table WHERE Habit = standard AND Mutated From = yakata 7001
What's the patent number of Fukuda?,"SELECT Plant Patent Number FROM table WHERE ""Inventor"" = fukuda"
"Who's the inventor when it was mutated from Redsport Type 2, has a stripe pattern and a spur habit?","SELECT ""Inventor"" FROM table WHERE Habit = spur AND Pattern = stripe AND Mutated From = redsport type 2"
What's the mutated of Auvil?,SELECT Mutated From FROM table WHERE Assignee = auvil
Which model has a top speed of 231km/h (143mph)?,SELECT Model FROM table WHERE Top Speed = 231km/h (143mph)
"How fast can the SLK200K, with a top speed of 236km/h (147mph), accelerate to 100km/h (62mph)?",SELECT 0–100km/h (62mph) FROM table WHERE Model = slk200k AND Top Speed = 236km/h (147mph)
What is the 0–100km/h (62mph) acceleration of the model with a top speed of 208km/h (129mph)?,SELECT 0–100km/h (62mph) FROM table WHERE Top Speed = 208km/h (129mph)
What is the top speed of the SLK200K that produces 122kw (163hp)?,SELECT Top Speed FROM table WHERE Model = slk200k AND Power = 122kw (163hp)
What is the Latin term for the Greek symbol μ?,SELECT Latin FROM table WHERE Greek = μ
Which role had a closing broadway cast of Adam Grupper?,SELECT Role FROM table WHERE Closing Broadway cast = adam grupper
What was the original US Tour cast when the original broadway was Kevin Chamberlin?,SELECT Original US Tour cast FROM table WHERE Original Broadway cast = kevin chamberlin
What was the original nonequity tour when the original broadway was Kevin Chamberlin?,SELECT Original NonEquity Tour cast FROM table WHERE Original Broadway cast = kevin chamberlin
What was the role when the original broadway was Adam Riegler?,SELECT Role FROM table WHERE Original Broadway cast = adam riegler
What is the number for the international with 669 domestic earlier than 2005?,SELECT AVG International FROM table WHERE Domestic = 669 AND Year < 2005
"What year was the international lower than 17,517 and domestic was less than 545?","SELECT AVG Year FROM table WHERE International < 17,517 AND Domestic < 545"
What was the score on 14 march 2004?,SELECT Score FROM table WHERE Date = 14 march 2004
In what season was Kilmarnock a finalist and Hibernian the winner?,SELECT Season FROM table WHERE Winners = hibernian AND Finalists = kilmarnock
Who were the finalists in the 1972–73 season?,SELECT Finalists FROM table WHERE Season = 1972–73
In which season did the Rangers win with a score of 2–1?,SELECT Season FROM table WHERE Score = 2–1 AND Winners = rangers
When did Motherwell win?,SELECT Date FROM table WHERE Winners = motherwell
What is the smallest rate of burglary when forcible rape is 39.1 and motor vehicle theft is less than 568.8?,SELECT MIN Burglary FROM table WHERE Forcible Rape = 39.1 AND Motor Vehicle Theft < 568.8
"When population is greater than 832,901 and murder and non-negligent manslaughter is 11.6, what is the smallest burglary?","SELECT MIN Burglary FROM table WHERE Population > 832,901 AND Murder and Non-Negligent Manslaughter = 11.6"
"What is the total rate of murder and non-negligent manslaughter when larceny-theft is 3,693.9 and burglary is more than 1,027.0?","SELECT SUM Murder and Non-Negligent Manslaughter FROM table WHERE Larceny-Theft = 3,693.9 AND Burglary > 1,027.0"
What is the name for district total:?,SELECT Name FROM table WHERE District = total:
What is the electorates in 2009 for Modi Nagar?,SELECT AVG Number of electorates (2009) FROM table WHERE Name = modi nagar
"Who was the opponent on 12 May, when the match day was more than 33?",SELECT Opponent FROM table WHERE Match Day > 33 AND Date = 12 may
What is the largest issue date for an album that reached position of 3?,SELECT MAX Issue Date FROM table WHERE Highest Position = 3
What is the record on March 16?,SELECT Record FROM table WHERE Date = march 16
What was the score on January 23?,SELECT Score FROM table WHERE Date = january 23
How many strokes off par was the player who scored 157?,SELECT COUNT To par FROM table WHERE Total = 157
Which player who won in 1977 and scored great than 155 was the closest to par?,SELECT MAX To par FROM table WHERE Year(s) won = 1977 AND Total > 155
What country was the player who was 11 off par from?,SELECT Country FROM table WHERE To par = 11
What was the Home team in Tie no 16?,SELECT Home team FROM table WHERE Tie no = 16
What is the Date of Tie no 9?,SELECT Date FROM table WHERE Tie no = 9
What is the Score in Tie 2?,SELECT Score FROM table WHERE Tie no = 2
What is the Tie no when Scarborough is the Home team?,SELECT Tie no FROM table WHERE Home team = scarborough
What is the Tie no when Swansea City is the Away team with a Score of 2–2?,SELECT Tie no FROM table WHERE Score = 2–2 AND Away team = swansea city
What is the name of constituency 5?,SELECT Name FROM table WHERE Constituency number = 5
"What label is released on September 20, 2005?","SELECT Label FROM table WHERE Date of release = september 20, 2005"
What is the lowest total with an all around of 10 and a rope higher than 10?,SELECT MIN Total FROM table WHERE All Around = 10 AND Rope > 10
What is Bianka Panova's highest total with lower than place 1?,SELECT MAX Total FROM table WHERE Name = bianka panova AND Place < 1
What is Milena Reljin's place with a smaller than 9.8 rope?,SELECT Place FROM table WHERE Rope < 9.8 AND Name = milena reljin
What is the highest game with a 24-23 record?,SELECT MAX Game FROM table WHERE Record = 24-23
"What is the highest game with a 1-0 record, and the Hornets scored more than 100?",SELECT MAX Game FROM table WHERE Record = 1-0 AND Hornets score > 100
When was Daniel Moro born?,SELECT Date of birth FROM table WHERE Name = daniel moro
What was the score for the player than won $450?,SELECT Score FROM table WHERE Money ( $ ) = 450
"What is the score of the player that had a to par score of +9 and took home less than $1,000?","SELECT Score FROM table WHERE Money ( $ ) < 1,000 AND To par = +9"
What place did the player that took won $350 finish in?,SELECT Place FROM table WHERE Money ( $ ) = 350
Which player had a score of 71-73-68-75=287?,SELECT Player FROM table WHERE Score = 71-73-68-75=287
"What is Year, when Name is ""Dong Shihou, 29 (董世侯)""?","SELECT Year FROM table WHERE Name = dong shihou, 29 (董世侯)"
"What is Name, when Location is ""DZ""?",SELECT Name FROM table WHERE Location = dz
"What is Injured, when Date is ""09.15 Sep. 15""?",SELECT Injured FROM table WHERE Date = 09.15 sep. 15
"What is Date, when Name is ""Guay, Albert , 32""?","SELECT Date FROM table WHERE Name = guay, albert , 32"
What is the highest grid for rider Fonsi Nieto?,SELECT MAX Grid FROM table WHERE Rider = fonsi nieto
What was the total number of Laps for the rider whose time was +7.951?,SELECT COUNT Laps FROM table WHERE Time = +7.951
What was the highest number of laps for rider Shuhei Aoyama in a grid higher than 24?,SELECT MAX Laps FROM table WHERE Rider = shuhei aoyama AND Grid > 24
"What was the grid for rider Russell Holland, riding a Honda CBR1000rr?",SELECT Grid FROM table WHERE Bike = honda cbr1000rr AND Rider = russell holland
"Who was the rider who went 14 laps on a Honda CBR1000rr, with a time of +1'04.877 on a grid larger than 23?",SELECT Rider FROM table WHERE Laps = 14 AND Grid > 23 AND Bike = honda cbr1000rr AND Time = +1'04.877
What is the earliest year with a Drama Desk award when the Mineola Twins was a nominated work?,SELECT MIN Year FROM table WHERE Award = drama desk award AND Nominated Work = the mineola twins
Which nominated work is in the category of best performance by a leading actress in a play earlier than 2007?,SELECT Nominated Work FROM table WHERE Category = best performance by a leading actress in a play AND Year < 2007
What is the most recent year that the Mineola Twins was nominated for outstanding actress in a play and a Drama Desk award?,SELECT MAX Year FROM table WHERE Nominated Work = the mineola twins AND Category = outstanding actress in a play AND Award = drama desk award
What is the result for the Outer Critics Circle award earlier than 2004?,SELECT Result FROM table WHERE Award = outer critics circle award AND Year < 2004
In what year was The House of Blue Leaves nominated for outstanding actress in a play?,SELECT SUM Year FROM table WHERE Nominated Work = the house of blue leaves AND Category = outstanding actress in a play
Which Country has a Total smaller than 284?,SELECT Country FROM table WHERE Total < 284
Which To par  has a Year(s) won of 1983?,SELECT To par FROM table WHERE Year(s) won = 1983
How many Total has a Player of dave stockton?,SELECT COUNT Total FROM table WHERE Player = dave stockton
What was the result in 1973 when the surface was clay?,SELECT Outcome FROM table WHERE Year = 1973 AND Surface = clay
What was the outcome in 1975?,SELECT Outcome FROM table WHERE Year = 1975
Who was Margaret Court's opponent on clay in 1975?,SELECT Opponents FROM table WHERE Surface = clay AND Partner = margaret court AND Year = 1975
What is the number of against when Central Murray is Tooleybuc Manangatang and there are fewer than 13 wins?,SELECT MAX Against FROM table WHERE Central Murray = tooleybuc manangatang AND Wins < 13
How many byes when the draws are fewer than 0?,SELECT AVG Byes FROM table WHERE Draws < 0
What is the byes for Woorineen when losses are more than 13?,SELECT SUM Byes FROM table WHERE Central Murray = woorineen AND Losses > 13
How many wins when there are 4 losses and against are fewer than 1281?,SELECT AVG Wins FROM table WHERE Losses = 4 AND Against < 1281
How many against when losses are 11 and wins are fewer than 5?,SELECT AVG Against FROM table WHERE Losses = 11 AND Wins < 5
"which Player has a To par of –7, and a Country of spain?",SELECT Player FROM table WHERE To par = –7 AND Country = spain
What doctor published on June 2003?,SELECT Doctor FROM table WHERE Published = june 2003
What title was published on November 2001 and has a 1st Doctor?,SELECT Title FROM table WHERE Doctor = 1st AND Published = november 2001
What is the title of the 8th doctor published in January 2003?,SELECT Title FROM table WHERE Doctor = 8th AND Published = january 2003
What is the companion for the author Dave Stone?,SELECT Companion(s) FROM table WHERE Author = dave stone
What Player won the PGA in 1989?,SELECT Player FROM table WHERE Year(s) won = 1989
Which player is from Northern Ireland?,SELECT Player FROM table WHERE Country = northern ireland
What player has a score of 69-68-68=205?,SELECT Player FROM table WHERE Score = 69-68-68=205
"Which Week has an Attendance larger than 63,369?","SELECT MIN Week FROM table WHERE Attendance > 63,369"
What was the result on september 26?,SELECT Result FROM table WHERE Date = september 26
